Land_Area,Trade flow,Commodity,a2000,S_2000,2001,S_2001,2002,S_2002,2003,S_2003,2004,S_2004,2005,S_2005,2006,S_2006,2007,S_2007,2008,S_2008,2009,S_2009,a2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,a2015,S_2015
Holanda,Import,Fish,472942,,479252,,487651,,537815,,522265,,632767,,652650,,688323,,591964,,676503,,777613,,685007,,767331,,706527,,779698,,700996,
Noruega,Export,Crustaceans,44687,,36133,,34458,,33504,,32218,,36746,,32614,,19917,,26962,,18510,,18813,,17938,,13299,,23749,,30965,,33804,
Noruega,Export,Fish,1769324,,1689923,,1687569,,1671594,,1590320,,1634014,,1611695,,1866600,,2017941,,2334702,,2441416,,2255818,,2373215,,2300316,,2476603,,2356433,
Noruega,Import,Crustaceans,29387,,20493,,20638,,15869,,28528,,21298,,13979,,22999,,20809,,20349,,21184,,20841,,21394,,21082,,19072,,19520,
Noruega,Import,Fish,379505,,344638,,285949,,177275,,176348,,120819,,134949,,156223,,147773,,196966,,142680,,178394,,183327,,158249,,221227,,201101,
Poland,Export,Crustaceans,14426,,9189,,9552,,7284,,7643,,6031,,7698,,7724,,2634,,7105,,6415,,4607,,2004,,2137,,2148,,1703,
Poland,Export,Fish,135024,,154421,,147062,,147462,,169244,,176356,,181648,,197627,,209205,,238556,,291041,,312616,,273263,,285609,,283801,,301615,
Poland,Import,Crustaceans,4596,,4009,,4158,,5132,,7087,,5978,,6788,,6829,,6218,,6125,,7313,,6613,,7255,,7442,,8113,,8448,
Poland,Import,Fish,266751,,253039,,215338,,228793,,282191,,288182,,325130,,350638,,387836,,393659,,435099,,428735,,438688,,470554,,499711,,498029,
Portugal,Export,Crustaceans,5417,,4351,,3445,,3617,,2656,,4289,,3894,,5080,,7667,,7564,,8046,,9839,,12881,,10436,,11555,,13638,
Portugal,Export,Fish,79075,,78436,,82597,,87183,,102670,,98155,,112276,,118732,,112796,,106476,,127353,,140546,,172622,,194074,,199328,,198746,
Portugal,Import,Crustaceans,14743,,16868,,17966,,18562,,20015,,23168,,24206,,25657,,26912,,31353,,33767,,29913,,32001,,27845,,34277,,33850,
Portugal,Import,Fish,253057,,262929,,269531,,274076,,278665,,285664,,314355,,327432,,296211,,306509,,292306,,300207,,338421,,369927,,365710,,363555,
Romania,Export,Crustaceans,3,,0,-,5,,0,-,3,,2,,3,,19,,16,,19,,9,,35,,31,,2,,10,,19,
Romania,Export,Fish,112,,24,,118,,38,,378,,189,,69,,350,,624,,2824,,2965,,5010,,4308,,4405,,3413,,3872,
Romania,Import,Crustaceans,763,,589,,290,,102,,196,,289,,315,,504,,706,,552,,609,,699,,841,,902,,819,,1108,
Romania,Import,Fish,34811,,43516,,50042,,59446,,66262,,79185,,79590,,73568,,86654,,88132,,83728,,65590,,71327,,71813,,82685,,89187,
Spain,Export,Crustaceans,17012,,21390,,28621,,25602,,25830,,21030,,25539,,35452,,27811,,35683,,36312,,44754,,41963,,42273,,39676,,45948,
Spain,Export,Fish,591265,,683892,,583437,,641545,,646342,,707838,,683553,,688820,,708689,,772201,,775086,,806489,,747947,,698055,,800267,,758771,
Spain,Import,Crustaceans,142341,,156708,,155731,,174634,,176785,,188989,,215943,,218095,,206204,,196401,,207015,,213800,,184810,,179429,,186623,,193619,
Spain,Import,Fish,744496,,860104,,852893,,953337,,873584,,870978,,907342,,947684,,875031,,933319,,960381,,958528,,869937,,869366,,951333,,979813,
Sweden,Export,Crustaceans,4040,,3539,,4281,,4366,,5032,,4608,,3681,,4438,,4235,,3593,,4460,,4040,,3495,,3572,,4055,,2871,
Sweden,Export,Fish,254857,,256377,,255623,,272257,,312599,,350017,,426016,,426368,,458130,,521772,,571566,,566575,,629913,,661474,,695091,,793065,
Sweden,Import,Crustaceans,25754,,27407,,26302,,29839,,32010,,34531,,32892,,35077,,32565,,33877,,36976,,35775,,36012,,38584,,37083,,33554,
Sweden,Import,Fish,166410,,178191,,191502,,237843,,280332,,316524,,351770,,413577,,446178,,474950,,511076,,546657,,627994,,646730,,692965,,764660,
Suiça,Export,Crustaceans,23,,8,,16,,10,,12,,10,,5,,10,,71,,86,,29,,45,,52,,67,,12,,11,
Suiça,Export,Fish,79,,82,,122,,148,,169,,179,,188,,210,,176,,245,,283,,261,,318,,500,,659,,473,
Suiça,Import,Crustaceans,6046,,6430,,5031,,5883,,6469,,6625,,7663,,8639,,8613,,8827,,9428,,10201,,9142,,9415,,9643,,8721,
Suiça,Import,Fish,44903,,46129,,44831,,45030,,45954,,45418,,48577,,48960,,50747,,52996,,53270,,53278,,52745,,57246,,55503,,57290,
Ukraine,Export,Crustaceans,259,,6448,,186,,592,,872,,567,,498,,726,,382,,157,,107,,131,,29,,76,,116,,211,
Ukraine,Export,Fish,83452,,50157,,37794,,31029,,16320,,19723,,20411,,24222,,23521,,59993,,55869,,48623,,55451,,51073,,39349,,8196,
Ukraine,Import,Crustaceans,1610,,318,,643,,1450,,1518,,4082,,9174,,14387,,14519,,7852,,8337,,10182,,9310,,9252,,5328,,1006,
Ukraine,Import,Fish,232907,,317739,,295542,,287564,,296447,,406307,,382972,,442048,,549432,,432584,,345123,,371921,,407367,,443498,,330122,,222846,
UK,Export,Crustaceans,58887,,61469,,65250,,67720,,66835,,65357,,65508,,66424,,56734,,57438,,60769,,52953,,51800,,54479,,51472,,46091,
UK,Export,Fish,550326,,567946,,505910,,543167,,538108,,546144,,490971,,512391,,487417,,565143,,602204,,527257,,590690,,573220,,710251,,637823,
UK,Import,Crustaceans,83566,,87693,,91298,,96255,,95630,,98910,,99024,,97125,,90322,,95218,,94654,,98073,,94166,,99357,,90935,,84698,
UK,Import,Fish,453551,,522982,,513740,,514375,,546892,,587591,,642607,,623825,,641575,,598380,,590119,,594704,,635871,,612203,,584623,,552023,
